id,name,full_name,owner,description,language,stars,forks,watchers,open_issues,created_at,updated_at,pushed_at,size,license,url,clone_url,topics
13491895,free-programming-books,EbookFoundation/free-programming-books,EbookFoundation,:books: Freely available programming books,Python,365620,63928,365620,41,2013-10-11T06:50:37Z,2025-08-22T04:51:34Z,2025-08-17T15:03:15Z,19603,Creative Commons Attribution 4.0 International,https://github.com/EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books.git,"books, education, hacktoberfest, list, resource"
54346799,public-apis,public-apis/public-apis,public-apis,A collective list of free APIs,Python,362239,38013,362239,552,2016-03-20T23:49:42Z,2025-08-22T05:00:30Z,2025-05-20T15:56:34Z,4771,MIT License,https://github.com/public-apis/public-apis,https://github.com/public-apis/public-apis.git,"api, apis, dataset, development, free, list, lists, open-source, public, public-api, public-apis, resources, software"
83222441,system-design-primer,donnemartin/system-design-primer,donnemartin,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,316901,51894,316901,514,2017-02-26T16:15:28Z,2025-08-22T04:58:48Z,2025-05-21T11:13:33Z,11239,Other,https://github.com/donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer.git,"design, design-patterns, design-system, development, interview, interview-practice, interview-questions, programming, python, system, web, web-application, webapp"
21289110,awesome-python,vinta/awesome-python,vinta,"An opinionated list of awesome Python frameworks, libraries, software and resources.",Python,256117,26169,256117,485,2014-06-27T21:00:06Z,2025-08-22T04:50:28Z,2025-07-17T16:35:51Z,6839,Other,https://github.com/vinta/awesome-python,https://github.com/vinta/awesome-python.git,"awesome, collections, python, python-framework, python-library, python-resources"
63476337,Python,TheAlgorithms/Python,TheAlgorithms,All Algorithms implemented in Python,Python,204252,47340,204252,439,2016-07-16T09:44:01Z,2025-08-22T04:29:42Z,2025-08-19T14:16:04Z,15436,MIT License,https://github.com/TheAlgorithms/Python,https://github.com/TheAlgorithms/Python.git,"algorithm, algorithm-competitions, algorithms-implemented, algos, community-driven, education, hacktoberfest, interview, learn, practice, python, searches, sorting-algorithms, sorts"
614765452,AutoGPT,Significant-Gravitas/AutoGPT,Significant-Gravitas,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,177987,45945,177987,222,2023-03-16T09:21:07Z,2025-08-22T05:05:45Z,2025-08-21T23:24:40Z,275091,Other,https://github.com/Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT.git,"ai, artificial-intelligence, autonomous-agents, gpt-4, llama-api, openai, python"
527591471,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,Stable Diffusion web UI,Python,155813,28892,155813,2424,2022-08-22T14:05:26Z,2025-08-22T03:40:48Z,2025-05-03T06:17:03Z,36427,GNU Affero General Public License v3.0,https://github.com/AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui.git,"ai, ai-art, deep-learning, diffusion, gradio, image-generation, image2image, img2img, pytorch, stable-diffusion, text2image, torch, txt2img, unstable, upscaling, web"
155220641,transformers,huggingface/transformers,huggingface,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",Python,148631,30125,148631,1958,2018-10-29T13:56:00Z,2025-08-22T04:05:26Z,2025-08-22T00:19:05Z,352828,Apache License 2.0,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers.git,"audio, deep-learning, deepseek, gemma, glm, hacktoberfest, llm, machine-learning, model-hub, natural-language-processing, nlp, pretrained-models, python, pytorch, pytorch-transformers, qwen, speech-recognition, transformer, vlm"
1039520,youtube-dl,ytdl-org/youtube-dl,ytdl-org,Command-line program to download videos from YouTube.com and other video sites,Python,136937,10440,136937,4139,2010-10-31T14:35:07Z,2025-08-22T03:56:36Z,2025-05-04T11:53:05Z,65579,The Unlicense,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl.git,
58028038,HelloGitHub,521xueweihan/HelloGitHub,521xueweihan,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",Python,125895,10670,125895,216,2016-05-04T06:24:11Z,2025-08-22T04:57:23Z,2025-07-30T17:30:00Z,8752,,https://github.com/521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub.git,"awesome, github, hellogithub, python"
